Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share,target_next_ga90,target_next_90s,target_season,has_target,forecast_2627_ga90,forecast_2627_p10,forecast_2627_p50,forecast_2627_p90,forecast_delta,early_2627_90s,early_2627_ga90
Omar Marmoush,Egypt,"FW,MF",Manchester City,26,1999,21,8,700,7.8,3,3,6,3,0,0,3,0,0.3846153846153846,0.3846153846153846,0.7692307692307693,0.3846153846153846,0.7692307692307693,False,2025-26,2025,0.7692307692307693,2,1875,1175.0,-475.0,0.6909375611665688,0.5343511450381679,,676,38.0,60.6578947368421,15.657894736842104,5.394736842105263,9.710526315789474,77.0,35.0,0.617219917012448,,,,False,0.5348255919924161,0.0,0.4333784852837406,0.8236198496134503,-0.2344051772383532,2.8,0.0
Omari Hutchinson,England,MF,Nottingham,21,2003,31,17,1688,18.8,1,5,6,1,0,0,1,0,0.0531914893617021,0.2659574468085106,0.3191489361702127,0.0531914893617021,0.3191489361702127,False,2025-26,2025,0.3191489361702127,3,4294,2583.0,-895.0,0.2514806303078228,0.1742160278745644,0.0,441,38.0,46.8421052631579,12.526315789473683,4.105263157894737,13.289473684210526,48.0,51.0,0.4852191641182466,,,,False,0.20087415044608348,0.0,0.2450841887861689,0.39483418901526457,-0.11827478572412925,,
Oscar BobbOscar Bobb,Norway,MF,Manchester City,22,2003,23,11,1039,11.5,0,1,1,0,0,0,1,0,0.0,0.0869565217391304,0.0869565217391304,0.0,0.0869565217391304,False,2025-26,2025,0.0869565217391304,1,1039,,,0.0869565217391304,,,484,38.0,60.6578947368421,15.657894736842104,5.394736842105263,9.710526315789474,77.0,35.0,0.617219917012448,,,,False,0.16249232482221254,0.0,0.14930700998327617,0.36660411408197,0.07553580308308214,,
Pablo,Brazil,"MF,FW",West Ham,21,2004,14,10,823,9.1,0,1,1,0,0,0,0,0,0.0,0.1098901098901098,0.1098901098901098,0.0,0.1098901098901098,False,2025-26,2025,0.1098901098901098,1,823,,,0.1098901098901098,,,441,,,,,,,,,,,,False,0.31495558353991815,0.0,0.20781989329037437,0.5287984846626022,0.20506547364980834,,
Pape Matar Sarr,Senegal,MF,Tottenham,22,2002,26,13,1398,15.5,2,4,6,2,0,0,3,0,0.1290322580645161,0.2580645161290322,0.3870967741935484,0.1290322580645161,0.3870967741935484,False,2025-26,2025,0.3870967741935484,4,5598,1913.0,-515.0,0.3449851272892841,0.2347417840375587,0.2608695652173913,484,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.2581690523728979,0.0,0.32124377473409077,0.5296360053342182,-0.1289277218206505,,
Pascal Groß,Germany,MF,Brighton,34,1991,19,18,1636,18.2,1,3,4,1,0,0,2,0,0.0549450549450549,0.1648351648351648,0.2197802197802197,0.0549450549450549,0.2197802197802197,False,2025-26,2025,0.2197802197802197,4,10027,3114.0,-1478.0,0.2812489181811852,0.4046242774566473,0.4722222222222222,1156,38.0,53.94736842105263,13.0,4.631578947368421,11.68421052631579,52.0,46.0,0.5266524520255864,,,,False,0.2758038981749712,0.0,0.3139703624566753,0.4603203034150272,0.0560236783947515,4.0,1.0
Pascal Struijk,Netherlands,DF,Leeds United,25,1999,34,33,2936,32.6,0,1,1,0,0,0,5,0,0.0,0.0306748466257668,0.0306748466257668,0.0,0.0306748466257668,False,2025-26,2025,0.0306748466257668,3,7191,2200.0,736.0,0.0526455964690745,0.1229508196721311,0.043859649122807,625,38.0,45.73684210526316,12.552631578947368,3.973684210526316,12.526315789473683,49.0,56.0,0.5005246589716683,,,,False,0.09865369977106447,0.0,0.09216818881959091,0.16787032196986437,0.06797885314529767,0.2,0.0
Patrick Dorgu,Denmark,MF,Manchester Utd,20,2004,26,15,1449,16.1,4,4,8,4,0,0,5,0,0.248447204968944,0.248447204968944,0.4968944099378881,0.248447204968944,0.4968944099378881,False,2025-26,2025,0.4968944099378881,2,2291,842.0,607.0,0.3312629399585921,0.0,,400,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.4049485455380869,0.0,0.29916675208209864,0.5942172409491266,-0.09194586439980118,1.9,0.0
Pau Torres,Spain,DF,Aston Villa,28,1997,21,18,1676,18.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,3,6160,2020.0,-344.0,0.008110300081103,0.0,0.072992700729927,784,38.0,53.6578947368421,12.710526315789474,4.473684210526316,12.894736842105264,56.0,49.0,0.4964028776978417,,,,False,0.041276109846405444,0.0,0.07272699155468547,0.1264526036919391,0.041276109846405444,2.1,0.0
Pedro Neto,Portugal,"MF,FW",Chelsea,25,2000,34,30,2631,29.2,5,6,11,5,0,0,4,1,0.1712328767123287,0.2054794520547945,0.3767123287671233,0.1712328767123287,0.3767123287671233,False,2025-26,2025,0.3767123287671233,5,7846,2269.0,362.0,0.392574193944057,0.3968253968253968,0.6547619047619048,625,38.0,57.73684210526316,13.394736842105264,4.368421052631579,10.947368421052632,58.0,52.0,0.5502702702702702,,,,False,0.523130746697506,0.0,0.5161140783530022,0.7378019816903927,0.14641841793038274,2.7,0.36
