Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share,target_next_ga90,target_next_90s,target_season,has_target,forecast_2627_ga90,forecast_2627_p10,forecast_2627_p50,forecast_2627_p90,forecast_delta,early_2627_90s,early_2627_ga90
Beto,Guinea-Bissau,FW,Everton,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.5172413793103449,0.0574712643678161,0.574712643678161,0.5172413793103449,0.574712643678161,False,2025-26,2025,0.574712643678161,3,4053,1534.0,34.0,0.5191634667313032,0.4705882352941176,0.2830188679245283,729,38.0,43.76315789473684,11.105263157894736,3.736842105263158,13.973684210526317,47.0,50.0,0.4428121720881427,,,,False,0.5021644957698466,0.0,0.4930371026594685,0.7039447370303265,-0.07254814790831443,0.4,0.0
Boubacar Kamara,France,MF,Aston Villa,25,1999,18,17,1411,15.7,1,3,4,1,0,0,5,0,0.0636942675159235,0.1910828025477707,0.2547770700636942,0.0636942675159235,0.2547770700636942,False,2025-26,2025,0.2547770700636942,4,6566,1726.0,-315.0,0.1873312716533409,0.0520833333333333,0.0543478260869565,625,38.0,53.6578947368421,12.710526315789474,4.473684210526316,12.894736842105264,56.0,49.0,0.4964028776978417,,,,False,0.2572311411591254,0.0,0.244804350497943,0.49312540327011606,0.002454071095431165,4.0,0.0
Brajan Gruda,Germany,MF,Brighton,21,2004,18,8,719,8.0,1,1,2,1,0,0,2,0,0.125,0.125,0.25,0.125,0.25,False,2025-26,2025,0.25,2,1406,687.0,32.0,0.3859649122807018,0.6578947368421053,,441,38.0,53.94736842105263,13.0,4.631578947368421,11.68421052631579,52.0,46.0,0.5266524520255864,,,,False,0.20432243907746683,0.0,0.1763582019460799,0.5817228504976554,-0.04567756092253317,,
Brenden Aaronson,USA,"MF,FW",Leeds United,24,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.1470588235294117,0.1838235294117647,0.3308823529411764,0.1470588235294117,0.3308823529411764,False,2025-26,2025,0.3308823529411764,2,4821,2372.0,77.0,0.2710932857991681,0.1515151515151515,,576,38.0,45.73684210526316,12.552631578947368,3.973684210526316,12.526315789473683,49.0,56.0,0.5005246589716683,,,,False,0.3472180964537327,0.0,0.29017208707048064,0.6390940189711096,0.01633574351255629,1.9,0.0
Brennan JohnsonBrennan Johnson,Wales,"MF,FW",Tottenham,24,2001,34,19,1722,19.2,2,1,3,2,0,0,6,0,0.1041666666666666,0.0520833333333333,0.15625,0.1041666666666666,0.15625,False,2025-26,2025,0.15625,2,4044,2322.0,-600.0,0.2979651162790698,0.5813953488372093,,576,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.31782323003458995,0.0,0.34868313203831414,0.6219702273271854,0.16157323003458995,,
Brian Brobbey,Netherlands,FW,Sunderland,23,2002,31,22,1927,21.4,7,1,8,7,0,0,6,0,0.3271028037383178,0.0467289719626168,0.3738317757009346,0.3271028037383178,0.3738317757009346,False,2025-26,2025,0.3738317757009346,1,1927,,,0.3738317757009346,,,529,38.0,44.89473684210526,10.421052631578949,3.421052631578948,14.210526315789474,42.0,48.0,0.4230769230769231,,,,False,0.3949423647835315,0.0,0.4396458622913059,0.6125823412609699,0.021110589082596887,3.4,0.0
Bruno Fernandes,Portugal,MF,Manchester Utd,30,1994,35,35,3063,34.0,9,21,30,5,4,6,5,0,0.2647058823529412,0.6176470588235294,0.8823529411764706,0.1470588235294117,0.7647058823529411,False,2025-26,2025,0.8823529411764706,5,15626,3018.0,45.0,0.7626182822329286,0.5373134328358209,0.5202312138728323,900,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.7200761785719696,0.0,0.6341285194302425,0.9598060378646377,-0.16227676260450097,4.0,1.0
Bruno Guimarães,Brazil,MF,Newcastle,27,1997,29,27,2453,27.3,9,5,14,7,2,2,6,0,0.3296703296703296,0.1831501831501831,0.5128205128205128,0.2564102564102564,0.4395604395604395,False,2025-26,2025,0.5128205128205128,5,12747,3271.0,-818.0,0.4536048213111571,0.303030303030303,0.4132231404958678,729,38.0,52.47368421052632,12.947368421052632,4.631578947368421,12.342105263157896,53.0,55.0,0.5119667013527576,,,,False,0.44412905419604826,0.0,0.4775098601269694,0.5464144283634792,-0.06869145862446452,0.7,1.38
Bryan Mbeumo,Cameroon,"MF,FW",Manchester Utd,25,1999,33,31,2609,29.0,11,3,14,11,0,0,4,0,0.3793103448275862,0.1034482758620689,0.4827586206896552,0.3793103448275862,0.4827586206896552,False,2025-26,2025,0.4827586206896552,5,13794,3414.0,-805.0,0.5483186880995617,0.712401055408971,0.6880733944954128,625,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.6799230240635934,0.0,0.6642769291669579,0.8089353897346131,0.1971644033739382,4.0,0.5
Bukayo Saka,England,"FW,MF",Arsenal,23,2001,31,25,2222,24.7,7,5,12,6,1,1,2,0,0.2834008097165992,0.2024291497975708,0.4858299595141701,0.242914979757085,0.4453441295546559,False,2025-26,2025,0.4858299595141701,5,13029,1729.0,493.0,0.5904282059854488,0.8333333333333334,0.7716049382716049,529,38.0,56.44736842105263,14.526315789473683,4.894736842105263,8.157894736842104,71.0,27.0,0.640371229698376,,,,False,0.571764937441353,0.0,0.5372414628009196,0.7323146924027518,0.08593497792718297,3.7,0.8
Callum Hudson-Odoi,England,MF,Nottingham,24,2000,30,21,1841,20.5,3,4,7,3,0,0,0,0,0.1463414634146341,0.1951219512195122,0.3414634146341463,0.1463414634146341,0.3414634146341463,False,2025-26,2025,0.3414634146341463,4,6851,2194.0,-353.0,0.3341412288284134,0.2868852459016394,0.4368932038834951,576,38.0,46.8421052631579,12.526315789473683,4.105263157894737,13.289473684210526,48.0,51.0,0.4852191641182466,,,,False,0.2519778914596816,0.0,0.34486420838703,0.4881071414304212,-0.08948552317446473,0.0,0.0
Callum Wilson,England,FW,West Ham,33,1992,32,11,1251,13.9,7,1,8,7,0,0,1,0,0.5035971223021583,0.0719424460431654,0.5755395683453237,0.5035971223021583,0.5755395683453237,False,2025-26,2025,0.5755395683453237,5,5875,370.0,881.0,0.4846187605243518,0.0,0.9090909090909092,1089,,,,,,,,,,,,False,0.409740670684262,0.0,0.41130677140045874,0.6502076411038513,-0.1657988976610617,0.2,0.0
Calvin Bassey,Nigeria,DF,Fulham,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.0354609929078014,0.0,0.0354609929078014,0.0354609929078014,0.0354609929078014,False,2025-26,2025,0.0354609929078014,3,7911,3074.0,-540.0,0.0344786655122834,0.0292397660818713,0.0390625,625,38.0,51.73684210526316,12.657894736842104,3.631578947368421,11.789473684210526,47.0,51.0,0.5177610333692142,,,,False,0.10508708282273156,0.0,0.0903324632661576,0.1481014281360587,0.06962608991493016,4.0,0.0
Caoimhín Kelleher,Ireland,GK,Brentford,26,1998,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,5,5400,900.0,2430.0,0.0,0.0,0.0,676,38.0,47.5,10.657894736842104,3.8684210526315783,13.263157894736842,55.0,52.0,0.4455445544554455,,,,False,0.006705773548133613,0.0,-0.001113576421655119,0.02469302947686021,0.006705773548133613,4.0,0.0
Carlos Alcaraz,Argentina,MF,Everton,22,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0.0,0.1298701298701298,0.1298701298701298,0.0,0.1298701298701298,False,2025-26,2025,0.1298701298701298,2,1718,1029.0,-340.0,0.2620186830713146,0.5263157894736842,,484,38.0,43.76315789473684,11.105263157894736,3.736842105263158,13.973684210526317,47.0,50.0,0.4428121720881427,,,,False,0.2987482640418966,0.0,0.1745444870523398,0.44067203774759023,0.16887813417176678,0.1,0.0
Carlos Baleba,Cameroon,MF,Brighton,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,3,5638,2661.0,-1009.0,0.03003003003003,0.1351351351351351,0.0,441,38.0,53.94736842105263,13.0,4.631578947368421,11.68421052631579,52.0,46.0,0.5266524520255864,,,,False,0.1549829830837651,0.0,0.16734603544697338,0.36392982527301687,0.1549829830837651,,
Casemiro,Brazil,MF,Manchester Utd,33,1992,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.3146853146853147,0.0699300699300699,0.3846153846153846,0.3146853146853147,0.3846153846153846,False,2025-26,2025,0.3846153846153846,4,8171,1494.0,1077.0,0.2908837092010463,0.0602409638554216,0.1363636363636363,1089,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.1585139546537921,0.0,0.19498491311615168,0.492429357581885,-0.2261014299615925,,
Chadi Riad,Morocco,DF,Crystal Palace,22,2003,9,6,552,6.1,0,1,1,0,0,0,2,0,0.0,0.1639344262295082,0.1639344262295082,0.0,0.1639344262295082,False,2025-26,2025,0.1639344262295082,2,642,90.0,462.0,0.1092896174863388,0.0,,484,38.0,45.89473684210526,11.63157894736842,3.710526315789474,11.710526315789474,41.0,51.0,0.4983089064261555,,,,False,0.2185310625136885,0.0,0.0875438908581375,0.378922108442672,0.054596636284180294,0.8,0.0
Chemsdine Talbi,Morocco,"MF,FW",Sunderland,20,2005,28,16,1561,17.3,4,1,5,4,0,0,0,0,0.2312138728323699,0.0578034682080924,0.2890173410404624,0.2312138728323699,0.2890173410404624,False,2025-26,2025,0.2890173410404624,1,1561,,,0.2890173410404624,,,400,38.0,44.89473684210526,10.421052631578949,3.421052631578948,14.210526315789474,42.0,48.0,0.4230769230769231,,,,False,0.35627150928269524,0.0,0.3168484288909488,0.5878694054247644,0.06725416824223285,0.4,0.0
Chris Richards,USA,DF,Crystal Palace,25,2000,33,31,2827,31.4,1,0,1,1,0,0,4,0,0.0318471337579617,0.0,0.0318471337579617,0.0318471337579617,0.0318471337579617,False,2025-26,2025,0.0318471337579617,4,7290,1922.0,905.0,0.0379739281170926,0.0467289719626168,0.0858369098712446,625,38.0,45.89473684210526,11.63157894736842,3.710526315789474,11.710526315789474,41.0,51.0,0.4983089064261555,,,,False,0.07105306034475128,0.0,0.05449047481861595,0.15072049308233315,0.039205926586789584,4.0,0.0
Chris Rigg,England,MF,Sunderland,18,2007,18,11,761,8.5,1,1,2,1,0,0,1,0,0.1176470588235294,0.1176470588235294,0.2352941176470588,0.1176470588235294,0.2352941176470588,False,2025-26,2025,0.2352941176470588,1,761,,,0.2352941176470588,,,324,38.0,44.89473684210526,10.421052631578949,3.421052631578948,14.210526315789474,42.0,48.0,0.4230769230769231,,,,False,0.2771236571897407,0.0,0.2087893991791077,0.4791249291859874,0.0418295395426819,0.2,0.0
Chris Wood,New Zealand,FW,Nottingham,33,1991,15,11,901,10.0,3,0,3,3,0,0,0,0,0.3,0.0,0.3,0.3,0.3,False,2025-26,2025,0.3,3,5672,2959.0,-2058.0,0.4382716609455256,0.6990881458966566,0.7462686567164178,1089,38.0,46.8421052631579,12.526315789473683,4.105263157894737,13.289473684210526,48.0,51.0,0.4852191641182466,,,,False,0.525512557457666,0.0,0.48710238343528794,0.694622864599193,0.22551255745766602,0.5,0.0
Cody Gakpo,Netherlands,"MF,FW",Liverpool,26,1999,36,32,2737,30.4,7,5,12,7,0,0,3,0,0.2302631578947368,0.1644736842105263,0.3947368421052631,0.2302631578947368,0.3947368421052631,False,2025-26,2025,0.3947368421052631,4,7779,1935.0,802.0,0.4810577957392127,0.6511627906976745,0.7103825136612022,676,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.6040110007282873,0.0,0.5881236964252768,0.8056728951791309,0.20927415862302418,3.1,1.28
Cole Palmer,England,MF,Chelsea,23,2002,26,24,1955,21.7,10,1,11,5,5,6,5,0,0.4608294930875576,0.0460829493087557,0.5069124423963134,0.2304147465437788,0.2764976958525346,False,2025-26,2025,0.5069124423963134,4,5639,3191.0,-1236.0,0.4999834364757183,0.647887323943662,0.2439024390243902,529,38.0,57.73684210526316,13.394736842105264,4.368421052631579,10.947368421052632,58.0,52.0,0.5502702702702702,,,,False,0.4657496376442438,0.0,0.5355751437801224,0.627770069775926,-0.04116280475206957,3.9,1.02
Conor Bradley,Northern Ireland,DF,Liverpool,22,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.0,0.0970873786407767,0.0970873786407767,0.0,0.0970873786407767,False,2025-26,2025,0.0970873786407767,3,2436,754.0,175.0,0.1705450249139569,0.238095238095238,0.4761904761904761,484,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.15881449474505088,0.0,0.11096622229145187,0.24393871379184517,0.061727116104274185,,
Conor Gallagher,England,MF,Tottenham,25,2000,16,14,1184,13.2,1,1,2,1,0,0,2,0,0.0757575757575757,0.0757575757575757,0.1515151515151515,0.0757575757575757,0.1515151515151515,False,2025-26,2025,0.1515151515151515,4,8778,3128.0,-1944.0,0.2069919983252346,0.3448275862068966,0.2222222222222222,625,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.28832874855972274,0.0,0.29219966904799627,0.37109411514391033,0.13681359704457124,1.4,0.0
Cristhian Mosquera,Spain,DF,Arsenal,21,2004,20,9,994,11.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,1,994,,,0.0,,,441,38.0,56.44736842105263,14.526315789473683,4.894736842105263,8.157894736842104,71.0,27.0,0.640371229698376,,,,False,0.07443540876803235,0.0,0.08485693619323384,0.18784337555017025,0.07443540876803235,1.9,0.0
Cristian Romero,Argentina,DF,Tottenham,27,1998,23,22,1868,20.8,4,1,5,4,0,0,11,2,0.1923076923076923,0.048076923076923,0.2403846153846153,0.1923076923076923,0.2403846153846153,False,2025-26,2025,0.2403846153846153,5,10282,1416.0,452.0,0.1878991863792719,0.0636942675159235,0.1612903225806451,729,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.15331665262423724,0.0,0.1845785289140287,0.3155132326524977,-0.08706796276037806,,
Crysencio Summerville,Netherlands,"MF,FW",West Ham,23,2001,31,29,2470,27.4,5,2,7,5,0,0,6,0,0.1824817518248175,0.072992700729927,0.2554744525547445,0.1824817518248175,0.2554744525547445,False,2025-26,2025,0.2554744525547445,4,4812,786.0,1684.0,0.2495312652481134,0.2298850574712644,0.3797468354430379,529,,,,,,,,,,,,False,0.5211945401378868,0.0,0.3698227395386399,0.8144168170170887,0.2657200875831423,,
Curtis Jones,England,"MF,DF",Liverpool,24,2001,34,18,1937,21.5,1,2,3,1,0,0,2,0,0.0465116279069767,0.0930232558139534,0.1395348837209302,0.0465116279069767,0.1395348837209302,False,2025-26,2025,0.1395348837209302,5,6702,1712.0,225.0,0.1857820945682156,0.3157894736842105,0.1538461538461538,576,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.189801934470296,0.0,0.3181520288507063,0.3854378481220101,0.0502670507493658,,
Daichi Kamada,Japan,MF,Crystal Palace,28,1996,28,22,1902,21.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,2,3466,1564.0,338.0,0.0,0.0,,784,38.0,45.89473684210526,11.63157894736842,3.710526315789474,11.710526315789474,41.0,51.0,0.4983089064261555,,,,False,0.06185786518003233,0.0,0.08894188472190935,0.30086098081306856,0.06185786518003233,3.9,0.77
Dan Burn,England,DF,Newcastle,33,1992,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.040983606557377,0.0819672131147541,0.1229508196721311,0.040983606557377,0.1229508196721311,False,2025-26,2025,0.1229508196721311,4,11366,3330.0,-1131.0,0.1048284153765553,0.054054054054054,0.132013201320132,1089,38.0,52.47368421052632,12.947368421052632,4.631578947368421,12.342105263157896,53.0,55.0,0.5119667013527576,,,,False,0.10350260992446558,0.0,0.060841300754706486,0.16842427605735963,-0.01944820974766552,,
Dan Ndoye,Switzerland,MF,Nottingham,24,2000,24,14,1173,13.0,1,1,2,1,0,0,1,0,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.1538461538461538,False,2025-26,2025,0.1538461538461538,1,1173,,,0.1538461538461538,,,576,38.0,46.8421052631579,12.526315789473683,4.105263157894737,13.289473684210526,48.0,51.0,0.4852191641182466,,,,False,0.12807001647480182,0.0,0.1389584082100331,0.311285484358458,-0.02577613737135198,2.9,0.35
Dango Ouattara,Burkina Faso,MF,Brentford,23,2002,32,25,2276,25.3,7,3,10,7,0,0,5,0,0.2766798418972332,0.1185770750988142,0.3952569169960474,0.2766798418972332,0.3952569169960474,False,2025-26,2025,0.3952569169960474,4,6751,2005.0,271.0,0.4000769273473172,0.4932735426008968,0.218978102189781,529,38.0,47.5,10.657894736842104,3.8684210526315783,13.263157894736842,55.0,52.0,0.4455445544554455,,,,False,0.31578443991098865,0.0,0.3566778305568535,0.5456380745189723,-0.07947247708505878,1.9,0.0
Daniel Ballard,Northern Ireland,DF,Sunderland,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.0836820083682008,0.0,0.0836820083682008,0.0836820083682008,0.0836820083682008,False,2025-26,2025,0.0836820083682008,1,2149,,,0.0836820083682008,,,625,38.0,44.89473684210526,10.421052631578949,3.421052631578948,14.210526315789474,42.0,48.0,0.4230769230769231,,,,False,0.06780305576226961,0.0,0.0669811934777839,0.12611363260273722,-0.015878952605931196,4.0,0.0
Daniel James,Wales,"FW,MF",Leeds United,27,1997,19,6,559,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,1,559,,,0.0,,,729,38.0,45.73684210526316,12.552631578947368,3.973684210526316,12.526315789473683,49.0,56.0,0.5005246589716683,,,,False,0.24335159756273947,0.0,0.18007474694680548,0.48085111016344284,0.24335159756273947,0.3,0.0
Daniel Muñoz,Colombia,MF,Crystal Palace,29,1996,29,29,2399,26.7,4,3,7,4,0,0,7,0,0.149812734082397,0.1123595505617977,0.2621722846441948,0.149812734082397,0.2621722846441948,False,2025-26,2025,0.2621722846441948,3,7066,3228.0,-829.0,0.2582696072805928,0.2506963788300835,0.25,841,38.0,45.89473684210526,11.63157894736842,3.710526315789474,11.710526315789474,41.0,51.0,0.4983089064261555,,,,False,0.22573947195590002,0.0,0.3190989530957644,0.4296290862852533,-0.03643281268829476,0.6,0.0
Daniel Muñoz,Colombia,MF,Crystal Palace,29,1996,29,29,2399,26.7,4,3,7,4,0,0,7,0,0.149812734082397,0.1123595505617977,0.2621722846441948,0.149812734082397,0.2621722846441948,False,2025-26,2025,0.2621722846441948,3,7066,3228.0,-829.0,0.2582696072805928,0.2506963788300835,0.25,841,38.0,45.89473684210526,11.63157894736842,3.710526315789474,11.710526315789474,41.0,51.0,0.4983089064261555,,,,False,0.22573947195590002,0.0,0.3190989530957644,0.4296290862852533,-0.03643281268829476,1.4,0.0
Danny Welbeck,England,FW,Brighton,34,1990,37,26,2258,25.1,13,1,14,12,1,3,5,0,0.5179282868525896,0.0398406374501992,0.5577689243027888,0.4780876494023904,0.5179282868525896,False,2025-26,2025,0.5577689243027888,5,9398,2115.0,143.0,0.5446840872902073,0.5957446808510638,0.3191489361702127,1156,38.0,53.94736842105263,13.0,4.631578947368421,11.68421052631579,52.0,46.0,0.5266524520255864,,,,False,0.38609704452431864,0.0,0.4851155812946469,0.7312101735643539,-0.17167187977847015,0.2,0.0
David Brooks,Wales,MF,Bournemouth,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.0746268656716417,0.2238805970149253,0.2985074626865671,0.0746268656716417,0.2985074626865671,False,2025-26,2025,0.2985074626865671,4,2619,960.0,244.0,0.2883315643002286,0.1869158878504673,0.6451612903225806,784,38.0,50.078947368421055,13.842105263157896,4.684210526315789,12.63157894736842,58.0,54.0,0.5228628230616302,,,,False,0.33708880892939724,0.0,0.2039491109962225,0.5653682086393691,0.03858134624283016,0.4,0.0
David Møller Wolfe,Norway,"MF,DF",Wolves,23,2002,22,11,1049,11.7,0,2,2,0,0,0,1,0,0.0,0.1709401709401709,0.1709401709401709,0.0,0.1709401709401709,False,2025-26,2025,0.1709401709401709,1,1049,,,0.1709401709401709,,,529,,,,,,,,,,,,False,0.1618099670874654,0.0,0.16816057314601532,0.43892454763770866,-0.009130203852705493,,
David Raya,Spain,GK,Arsenal,29,1995,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,5,15210,3420.0,-90.0,0.0,0.0,0.0,841,38.0,56.44736842105263,14.526315789473683,4.894736842105263,8.157894736842104,71.0,27.0,0.640371229698376,,,,False,-0.0042984144147064016,0.0,0.002154611824562829,0.0118982548788024,-0.0042984144147064016,4.0,0.0
Dean Henderson,England,GK,Crystal Palace,28,1997,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,4,9990,3420.0,-90.0,0.0,0.0,0.0,784,38.0,45.89473684210526,11.63157894736842,3.710526315789474,11.710526315789474,41.0,51.0,0.4983089064261555,,,,False,-0.02043856271087013,0.0,-0.0014127014728127147,-0.0030674799989829473,-0.02043856271087013,3.0,0.0
Declan Rice,England,MF,Arsenal,26,1999,36,35,3094,34.4,4,5,9,4,0,0,3,0,0.1162790697674418,0.1453488372093023,0.2616279069767442,0.1162790697674418,0.2616279069767442,False,2025-26,2025,0.2616279069767442,5,15596,2825.0,269.0,0.289122460869481,0.3503184713375796,0.4189944134078213,676,38.0,56.44736842105263,14.526315789473683,4.894736842105263,8.157894736842104,71.0,27.0,0.640371229698376,,,,False,0.3964887225734087,0.0,0.4264216649435928,0.47559699578846315,0.13486081559666452,3.6,0.56
Destiny Udogie,Italy,"DF,MF",Tottenham,22,2002,20,14,1338,14.9,0,1,1,0,0,0,4,0,0.0,0.0671140939597315,0.0671140939597315,0.0,0.0671140939597315,False,2025-26,2025,0.0671140939597315,3,5653,1924.0,-586.0,0.076012492499517,0.0467289719626168,0.18796992481203,484,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.05927673834484524,0.0,0.10543442690883431,0.1935474227482594,-0.007837355614886264,1.0,0.0
Diego Gómez,Paraguay,"MF,FW",Brighton,22,2003,32,26,2120,23.6,5,1,6,5,0,0,9,0,0.211864406779661,0.0423728813559322,0.2542372881355932,0.211864406779661,0.2542372881355932,False,2025-26,2025,0.2542372881355932,2,2636,516.0,1604.0,0.2279710575874715,0.175438596491228,,484,38.0,53.94736842105263,13.0,4.631578947368421,11.68421052631579,52.0,46.0,0.5266524520255864,,,,False,0.4757831978189623,0.0,0.3485386693564902,0.7531514108912399,0.22154590968336907,3.9,0.26
Dilane Bakwa,France,MF,Nottingham,22,2002,14,6,553,6.1,0,2,2,0,0,0,1,0,0.0,0.3278688524590164,0.3278688524590164,0.0,0.3278688524590164,False,2025-26,2025,0.3278688524590164,1,553,,,0.3278688524590164,,,484,38.0,46.8421052631579,12.526315789473683,4.105263157894737,13.289473684210526,48.0,51.0,0.4852191641182466,,,,False,0.22267542778332958,0.0,0.22597991985407145,0.4474182727779775,-0.10519342467568685,,
Diogo Dalot,Portugal,"DF,MF",Manchester Utd,26,1999,34,29,2614,29.0,1,3,4,1,0,0,5,0,0.0344827586206896,0.1034482758620689,0.1379310344827586,0.0344827586206896,0.1379310344827586,False,2025-26,2025,0.1379310344827586,5,12557,2814.0,-200.0,0.126844689638611,0.0958466453674121,0.141643059490085,676,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.08781598444889838,0.0,0.17242639318254618,0.2702648740019905,-0.050115050033860215,2.9,0.0
Djed Spence,England,"DF,MF",Tottenham,24,2000,30,23,2056,22.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,3,3855,1792.0,264.0,0.033500837520938,0.1507537688442211,0.0,576,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.1062035522442058,0.0,0.12442140650863348,0.19663921253921043,0.1062035522442058,,
Dominic Calvert-Lewin,England,FW,Leeds United,28,1997,35,30,2721,30.2,14,1,15,10,4,5,3,0,0.4635761589403974,0.0331125827814569,0.4966887417218543,0.3311258278145695,0.3642384105960265,False,2025-26,2025,0.4966887417218543,5,8949,1609.0,1112.0,0.4202324579097582,0.223463687150838,0.3734439834024896,784,38.0,45.73684210526316,12.552631578947368,3.973684210526316,12.526315789473683,49.0,56.0,0.5005246589716683,,,,False,0.5300376590088172,0.0,0.5498670918919364,0.7469269632586564,0.033348917286962876,3.7,0.82
Dominic Solanke,England,FW,Tottenham,27,1997,15,11,1001,11.1,3,0,3,3,0,0,1,0,0.2702702702702703,0.0,0.2702702702702703,0.2702702702702703,0.2702702702702703,False,2025-26,2025,0.2702702702702703,4,9387,2201.0,-1200.0,0.3483280492827677,0.4897959183673469,0.5962059620596206,729,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.5203183228134773,0.0,0.4615647813821828,0.7308674547958265,0.25004805254320706,1.2,0.0
Dominik Szoboszlai,Hungary,"MF,DF",Liverpool,24,2000,36,36,3231,35.9,6,7,13,6,0,1,8,1,0.1671309192200557,0.1949860724233983,0.362116991643454,0.1671309192200557,0.362116991643454,False,2025-26,2025,0.362116991643454,3,7826,2491.0,740.0,0.361422572923969,0.4332129963898917,0.2136752136752137,576,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.488780065678974,0.0,0.5417658940425847,0.6207378376201144,0.12666307403551996,4.0,0.25
Donyell Malen,Netherlands,"FW,MF",Aston Villa,26,1999,21,5,656,7.3,4,1,5,4,0,0,0,0,0.547945205479452,0.136986301369863,0.684931506849315,0.547945205479452,0.684931506849315,False,2025-26,2025,0.684931506849315,2,961,305.0,351.0,0.7507386516250336,0.8823529411764706,,676,38.0,53.6578947368421,12.710526315789474,4.473684210526316,12.894736842105264,56.0,49.0,0.4964028776978417,,,,False,0.3365511562992243,0.0,0.31472926471967433,0.7956025952917251,-0.34838035055009076,,
Douglas LuizDouglas Luiz,Brazil,MF,Nottingham,27,1998,21,12,919,10.2,1,0,1,1,0,0,3,0,0.0980392156862745,0.0,0.0980392156862745,0.0980392156862745,0.0980392156862745,False,2025-26,2025,0.0980392156862745,1,919,,,0.0980392156862745,,,729,38.0,46.8421052631579,12.526315789473683,4.105263157894737,13.289473684210526,48.0,51.0,0.4852191641182466,,,,False,0.11683055849965457,0.0,0.105559118878499,0.2805641303338165,0.018791342813380074,,
