Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,is_partial_season,gameweeks_covered,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share
Rico Henry,,"DF,MF",Brentford,28.0,1997.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7845,1328.0,-1325.0,0.021360064569941113,0.06756756756756756,0.0,784.0,,,,,,,,
Rico Lewis,,DF,Manchester City,21.0,2004.0,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,4068,407.0,-351.0,0.06545169508132472,0.2222222222222222,0.14285714285714285,441.0,,,,,,,,
Rio Ngumoha,,MF,Liverpool,17.0,2008.0,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,661,560.0,-459.0,0.16129032258064516,0.48387096774193544,,289.0,,,,,,,,
Robert Sánchez,,GK,Chelsea,28.0,1997.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,12841,3039.0,-2949.0,0.006574621959237345,0.02958579881656805,0.0,784.0,,,,,,,,
Robin Roefs,,GK,Sunderland,22.0,2003.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3510,3150.0,-2790.0,0.0,0.0,,484.0,,,,,,,,
Robinio Vaz,,FW,Hull City,,,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,9,,,0.0,,,,,,,,,,,
Rodrigo Bentancur,,MF,Tottenham,28.0,1997.0,4,3,287,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7681,1883.0,-1596.0,0.03830999924510402,0.09569377990430622,0.1092896174863388,784.0,,,,,,,,
Rodrigo Muniz,,FW,Fulham,24.0,2001.0,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,3588,1000.0,-969.0,0.12327021567213767,0.1801801801801802,0.8411214953271029,576.0,,,,,,,,
Romaine Mundle,,MF,Sunderland,22.0,2003.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,412,411.0,-410.0,0.0,0.0,,484.0,,,,,,,,
Roméo Lavia,,MF,Chelsea,21.0,2004.0,4,4,258,2.9,1,0,1,1,0,0,1,0,0.35,0.0,0.35,0.35,0.35,False,2026-27,2026,True,4.0,0.35,5,3691,382.0,-124.0,0.24215608806580616,0.0,0.11235955056179775,441.0,,,,,,,,
Ronald Araújo,,DF,Liverpool,,,4,2,196,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,196,,,0.0,,,,,,,,,,,
Ross Barkley,,MF,Aston Villa,32.0,1993.0,4,4,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,4537,857.0,-555.0,0.15296063903407006,0.42105263157894735,0.6153846153846154,1024.0,,,,,,,,
Ryan Christie,,"FW,MF",Bournemouth,30.0,1995.0,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7882,994.0,-964.0,0.06119703402857053,0.18181818181818182,0.2127659574468085,900.0,,,,,,,,
Ryan Giles,,DF,Hull City,25.0,2000.0,4,4,354,3.9,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,False,2026-27,2026,True,4.0,0.25,2,857,503.0,-149.0,0.16666666666666666,0.0,,625.0,,,,,,,,
Ryan Gravenberch,,MF,Liverpool,23.0,2002.0,4,2,183,2.0,0,1,1,0,0,0,0,0,0.0,0.49,0.49,0.0,0.49,False,2026-27,2026,True,4.0,0.49,4,7456,2992.0,-2809.0,0.39161864297964255,0.24096385542168672,0.11396011396011396,529.0,,,,,,,,
Ryan Mcaidoo,,FW,Manchester City,,,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,13,,,0.0,,,,,,,,,,,
Ryan Sessegnon,,"DF,FW",Fulham,25.0,2000.0,3,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,4316,1823.0,-1770.0,0.12084760823585858,0.19704433497536944,0.9375,625.0,,,,,,,,
Rúben Dias,,DF,Manchester City,28.0,1997.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,11731,2141.0,-1781.0,0.01959890628466673,0.08403361344537814,0.0,784.0,,,,,,,,
Sander Berge,,MF,Fulham,27.0,1998.0,4,3,274,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,8408,2905.0,-2631.0,0.010206624933826878,0.030959752321981428,0.0,729.0,,,,,,,,
Sandro Tonali,,MF,Tottenham,25.0,2000.0,4,4,344,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,5946,2534.0,-2190.0,0.038539720431713616,0.07092198581560284,0.20547945205479454,625.0,,,,,,,,
Saša Lukić,,MF,Ipswich Town,29.0,1996.0,4,4,328,3.6,0,1,1,0,0,0,2,0,0.0,0.27,0.27,0.0,0.27,False,2026-27,2026,True,4.0,0.27,5,5940,1734.0,-1406.0,0.22221562867504147,0.15544041450777202,0.07692307692307693,841.0,,,,,,,,
Sean Longstaff,,MF,Leeds United,28.0,1997.0,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,8550,1011.0,-999.0,0.0878161605809197,0.35714285714285715,0.0,784.0,,,,,,,,
