Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,is_partial_season,gameweeks_covered,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share
Aaron Hickey,,DF,Brentford,23.0,2002.0,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,3453,691.0,-558.0,0.0017388280299078425,0.0,0.0,529.0,,,,,,,,
Aaron Wan-Bissaka,,DF,Aston Villa,28.0,1997.0,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,10352,2081.0,-1972.0,0.0365489106229847,0.08658008658008658,0.2,784.0,,,,,,,,
Abdoul Ouattara,,DF,Ipswich Town,,,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,45,,,0.0,,,,,,,,,,,
Abdukodir Khusanov,,DF,Manchester City,21.0,2004.0,3,3,268,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,2203,1432.0,-1164.0,0.0,0.0,0.0,441.0,,,,,,,,
Abdul Fatawu Issahaku,,MF,Ipswich Town,21.0,2004.0,4,4,286,3.2,0,1,1,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,False,2026-27,2026,True,4.0,0.31,2,865,579.0,-293.0,0.31083333333333335,0.3125,,441.0,,,,,,,,
Adam Smith,,DF,Bournemouth,34.0,1991.0,4,4,360,4.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,8120,1077.0,-717.0,0.03948080316656486,0.16666666666666666,0.0,1156.0,,,,,,,,
Adam Wharton,,MF,Crystal Palace,21.0,2004.0,4,4,346,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,5513,2552.0,-2206.0,0.06481153962503247,0.21126760563380284,0.136986301369863,441.0,,,,,,,,
Adrien Truffert,,DF,Bournemouth,24.0,2001.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3739,3379.0,-3019.0,0.053333333333333344,0.16,,576.0,,,,,,,,
Ainsley Maitland-Niles,,DF,Everton,28.0,1997.0,2,1,88,1.0,1,0,1,1,0,0,0,0,1.02,0.0,1.02,1.02,1.02,False,2026-27,2026,True,4.0,1.02,3,1763,1407.0,-1319.0,0.6799999999999999,0.0,0.0,784.0,,,,,,,,
Aladji Bamba,,MF,Newcastle,,,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,26,,,0.0,,,,,,,,,,,
Alejandro Garnacho,,MF,Aston Villa,21.0,2004.0,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,6648,1268.0,-1234.0,0.1191508912570406,0.3546099290780142,0.3278688524590164,441.0,,,,,,,,
Alex Iwobi,,MF,Fulham,29.0,1996.0,4,4,338,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,11151,2419.0,-2081.0,0.09950665744394263,0.26022304832713755,0.45317220543806647,841.0,,,,,,,,
Alex Scott,,MF,Bournemouth,22.0,2003.0,4,4,355,3.9,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,False,2026-27,2026,True,4.0,0.25,4,4973,2849.0,-2494.0,0.20126255341631796,0.12618296529968454,0.0,484.0,,,,,,,,
Alex Tóth,,MF,Bournemouth,20.0,2005.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,156,140.0,-124.0,0.0,0.0,,400.0,,,,,,,,
Alexander Isak,,FW,Liverpool,26.0,1999.0,4,4,333,3.7,3,0,3,3,0,0,0,0,0.81,0.0,0.81,0.81,0.81,False,2026-27,2026,True,4.0,0.81,5,7565,699.0,-366.0,0.7548222300894669,0.5128205128205129,0.9477124183006536,676.0,,,,,,,,
Alexis Mac Allister,,MF,Liverpool,27.0,1998.0,4,2,218,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,13083,2658.0,-2440.0,0.08367005283229309,0.2033898305084746,0.34602076124567477,729.0,,,,,,,,
Alisson,,GK,Liverpool,33.0,1992.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,14298,2340.0,-1980.0,0.00033675650959601595,0.0,0.0,1089.0,,,,,,,,
Alysson,,MF,Aston Villa,,,4,0,90,1.0,1,0,1,1,0,0,1,0,1.0,0.0,1.0,1.0,1.0,False,2026-27,2026,True,4.0,1.0,1,90,,,1.0,,,,,,,,,,,
Amar Dedić,,DF,Newcastle,,,4,4,327,3.6,0,1,1,0,0,0,0,0,0.0,0.28,0.28,0.0,0.28,False,2026-27,2026,True,4.0,0.28,1,327,,,0.28,,,,,,,,,,,
Anan Khalaili,,MF,Crystal Palace,,,4,3,290,3.2,1,0,1,1,0,0,1,0,0.31,0.0,0.31,0.31,0.31,False,2026-27,2026,True,4.0,0.31,1,290,,,0.31,,,,,,,,,,,
Andrey Santos,,MF,Manchester Utd,21.0,2004.0,3,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,1352,1260.0,-1176.0,0.015873015873015876,0.07142857142857142,0.0,441.0,,,,,,,,
Andy Robertson,,DF,Tottenham,31.0,1994.0,4,3,277,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,10748,1176.0,-899.0,0.0304055152077149,0.07633587786259542,0.036231884057971016,961.0,,,,,,,,
Anthony Elanga,,MF,Newcastle,23.0,2002.0,3,3,232,2.6,2,0,2,2,0,0,1,0,0.78,0.0,0.78,0.78,0.78,False,2026-27,2026,True,4.0,0.78,6,8125,1319.0,-1087.0,0.5961876664800841,0.06802721088435375,0.6115107913669064,529.0,,,,,,,,
Antoine Semenyo,,MF,Manchester City,25.0,2000.0,4,4,360,4.0,0,2,2,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,False,2026-27,2026,True,4.0,0.5,4,5926,3203.0,-2843.0,0.47763546868114437,0.449438202247191,0.4273504273504274,625.0,,,,,,,,
Anton Stach,,MF,Leeds United,27.0,1998.0,4,4,357,4.0,1,0,1,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,False,2026-27,2026,True,4.0,0.25,2,2727,2370.0,-2013.0,0.26806083650190116,0.3041825095057034,,729.0,,,,,,,,
Antonee Robinson,,DF,Fulham,28.0,1997.0,4,4,339,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,11351,1492.0,-1153.0,0.03887180043568119,0.06024096385542168,0.28409090909090906,784.0,,,,,,,,
Antonín Kinský,,GK,Tottenham,22.0,2003.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,1530,630.0,-270.0,0.0,0.0,0.0,484.0,,,,,,,,
António Silva,,DF,Bournemouth,,,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,360,,,0.0,,,,,,,,,,,
Ao Tanaka,,MF,Leeds United,27.0,1998.0,3,2,188,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,False,2026-27,2026,True,4.0,0.48,2,1503,1315.0,-1127.0,0.36566210045662095,0.136986301369863,,729.0,,,,,,,,
Archie Gray,,DF,Tottenham,19.0,2006.0,3,3,236,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,3465,1478.0,-1242.0,0.05420054200542006,0.24390243902439027,0.0,361.0,,,,,,,,
Arnaud Kalimuendo,,FW,Nottingham,23.0,2002.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,97,96.0,-95.0,0.0,0.0,,529.0,,,,,,,,
Aurèle Amenda,,DF,Coventry City,,,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,360,,,0.0,,,,,,,,,,,
Axel Disasi,,DF,Crystal Palace,27.0,1998.0,3,2,139,1.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,3972,1254.0,-1115.0,0.007742934572202866,0.0,0.06968641114982578,729.0,,,,,,,,
Ayden Heaven,,DF,Manchester Utd,19.0,2006.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,1184,924.0,-834.0,0.021574973031283712,0.0970873786407767,0.0,361.0,,,,,,,,
Ayyoub Bouaddi,,MF,Manchester City,,,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,24,,,0.0,,,,,,,,,,,
Bachir Belloumi,,MF,Hull City,,,4,4,312,3.5,2,1,3,2,0,0,0,0,0.58,0.29,0.87,0.58,0.87,False,2026-27,2026,True,4.0,0.87,1,312,,,0.87,,,,,,,,,,,
Bart Verbruggen,,GK,Brighton,23.0,2002.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,8910,3420.0,-3060.0,0.0020576131687242804,0.0,0.027777777777777776,529.0,,,,,,,,
Bazoumana Touré,,MF,Newcastle,,,2,0,35,0.4,1,0,1,1,0,0,0,0,2.57,0.0,2.57,2.57,2.57,False,2026-27,2026,True,4.0,2.57,1,35,,,2.57,,,,,,,,,,,
Ben Chilwell,,"DF,MF",Crystal Palace,29.0,1996.0,2,0,31,0.3,1,0,1,1,0,0,0,0,2.9,0.0,2.9,2.9,2.9,False,2026-27,2026,True,4.0,2.9,5,2996,259.0,-228.0,2.0333415980925555,0.3448275862068966,0.11904761904761904,841.0,,,,,,,,
Ben Gannon-Doak,,MF,Bournemouth,20.0,2005.0,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,166,113.0,-100.0,0.17094017094017094,0.7692307692307692,0.0,400.0,,,,,,,,
Ben White,,DF,Arsenal,28.0,1997.0,4,4,315,3.5,0,1,1,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29,False,2026-27,2026,True,4.0,0.29,6,11138,702.0,-387.0,0.24061154865815934,0.12820512820512822,0.15037593984962405,784.0,,,,,,,,
Benjamin Šeško,,FW,Manchester Utd,22.0,2003.0,4,0,80,0.9,1,0,1,1,0,0,0,0,1.13,0.0,1.13,1.13,1.13,False,2026-27,2026,True,4.0,1.13,2,1723,1643.0,-1563.0,0.9719125683060108,0.6557377049180327,,484.0,,,,,,,,
Bernd Leno,,GK,Fulham,33.0,1992.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,14220,3420.0,-3060.0,0.0019493177387914233,0.0,0.02631578947368421,1089.0,,,,,,,,
Beto,,FW,Everton,27.0,1998.0,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,4086,1568.0,-1535.0,0.17305448891043443,0.574712643678161,0.47058823529411764,729.0,,,,,,,,
Bobby Thomas,,DF,Coventry City,,,4,4,347,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,347,,,0.0,,,,,,,,,,,
Boubacar Kamara,,MF,Aston Villa,26.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,6926,1411.0,-1051.0,0.06244375721778034,0.25477707006369427,0.052083333333333336,676.0,,,,,,,,
Bradley Barcola,,MF,Liverpool,,,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,98,,,0.0,,,,,,,,,,,
Brandon Thomas-Asante,,MF,Coventry City,,,4,1,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,139,,,0.0,,,,,,,,,,,
Brenden Aaronson,,MF,Leeds United,25.0,2000.0,4,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,4995,2449.0,-2275.0,0.09036442859972273,0.33088235294117646,0.15151515151515152,625.0,,,,,,,,
Brennan Johnson,,MF,Everton,24.0,2001.0,4,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,5286,2177.0,-2002.0,0.16604978958576283,0.578512396694215,0.3374233128834356,576.0,,,,,,,,
Brian Brobbey,,FW,Sunderland,23.0,2002.0,4,4,310,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2237,1927.0,-1617.0,0.12461059190031155,0.3738317757009346,,529.0,,,,,,,,
Brooke Norton-Cuffy,,"DF,MF",Hull City,,,2,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,36,,,0.0,,,,,,,,,,,
Bruno Fernandes,,MF,Manchester Utd,31.0,1994.0,4,4,360,4.0,3,1,4,2,1,1,0,0,0.75,0.25,1.0,0.5,0.75,False,2026-27,2026,True,4.0,1.0,6,15986,3063.0,-2703.0,0.9208727607443095,0.8823529411764706,0.5373134328358209,961.0,,,,,,,,
Bruno Guimarães,,MF,Arsenal,28.0,1997.0,2,0,65,0.7,1,0,1,1,0,0,0,0,1.38,0.0,1.38,1.38,1.38,False,2026-27,2026,True,4.0,1.38,6,12812,2453.0,-2388.0,1.071201607103719,0.5128205128205128,0.30303030303030304,784.0,,,,,,,,
Bryan Mbeumo,,MF,Manchester Utd,26.0,1999.0,4,4,360,4.0,2,0,2,2,0,0,1,0,0.5,0.0,0.5,0.5,0.5,False,2026-27,2026,True,4.0,0.5,6,14154,2609.0,-2249.0,0.5161062293665206,0.4827586206896552,0.712401055408971,676.0,,,,,,,,
Bukayo Saka,,MF,Arsenal,24.0,2001.0,4,4,336,3.7,3,0,3,2,1,1,0,0,0.8,0.0,0.8,0.54,0.54,False,2026-27,2026,True,4.0,0.8,6,13365,2222.0,-1886.0,0.730142735328483,0.4858299595141701,0.8333333333333334,576.0,,,,,,,,
Caleb Yirenkyi,,MF,Coventry City,,,4,2,177,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,177,,,0.0,,,,,,,,,,,
Callum Hudson-Odoi,,"FW,MF",Nottingham,25.0,2000.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,6852,1841.0,-1840.0,0.11138040960947117,0.34146341463414637,0.2868852459016394,625.0,,,,,,,,
Callum Wilson,,FW,Brentford,33.0,1992.0,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,5891,1251.0,-1235.0,0.16153958684145062,0.5755395683453237,0.0,1089.0,,,,,,,,
Calvin Bassey,,DF,Fulham,26.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,8271,2534.0,-2174.0,0.011492888504094492,0.03546099290780142,0.029239766081871343,676.0,,,,,,,,
Caoimhín Kelleher,,GK,Brentford,27.0,1998.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,5760,3330.0,-2970.0,0.0,0.0,0.0,729.0,,,,,,,,
Carl Rushworth,,GK,Coventry City,,,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,360,,,0.0,,,,,,,,,,,
Carlos Alcaraz,,MF,Everton,23.0,2002.0,2,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,1724,689.0,-683.0,0.08733956102377156,0.12987012987012986,0.5263157894736842,529.0,,,,,,,,
Chadi Riad,,DF,Crystal Palace,22.0,2003.0,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,713,552.0,-481.0,0.036429872495446276,0.1639344262295082,0.0,484.0,,,,,,,,
Charalampos Kostoulas,,FW,Brighton,18.0,2007.0,4,3,279,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32,False,2026-27,2026,True,4.0,0.32,2,648,369.0,-90.0,0.4572357723577236,0.7317073170731708,,324.0,,,,,,,,
Chema,,MF,Brighton,,,1,0,26,0.3,0,1,1,0,0,0,0,0,0.0,3.46,3.46,0.0,3.46,False,2026-27,2026,True,4.0,3.46,1,26,,,3.46,,,,,,,,,,,
Chemsdine Talbi,,MF,Sunderland,20.0,2005.0,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,1593,1561.0,-1529.0,0.09633911368015415,0.2890173410404624,,400.0,,,,,,,,
Chris Richards,,DF,Crystal Palace,25.0,2000.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7650,2827.0,-2467.0,0.012657976039030894,0.03184713375796178,0.04672897196261683,625.0,,,,,,,,
Chris Rigg,,MF,Sunderland,18.0,2007.0,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,780,761.0,-742.0,0.07843137254901962,0.23529411764705882,,324.0,,,,,,,,
Chris Wood,,FW,Nottingham,34.0,1991.0,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,5719,901.0,-854.0,0.14609055364850856,0.3,0.6990881458966566,1156.0,,,,,,,,
Christos Tzolis,,MF,Arsenal,23.0,2002.0,4,4,290,3.2,0,1,1,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,False,2026-27,2026,True,4.0,0.31,2,626,336.0,-46.0,0.20666666666666667,0.0,,529.0,,,,,,,,
Chuba Akpom,,"FW,MF",Ipswich Town,,,2,0,70,0.8,1,0,1,1,0,0,0,0,1.29,0.0,1.29,1.29,1.29,False,2026-27,2026,True,4.0,1.29,1,70,,,1.29,,,,,,,,,,,
Cody Drameh,,"DF,MF",Hull City,24.0,2001.0,2,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,263,69.0,-3.0,0.0,0.0,0.0,576.0,,,,,,,,
Cody Gakpo,,MF,Liverpool,26.0,1999.0,4,3,281,3.1,1,3,4,1,0,0,0,0,0.32,0.96,1.28,0.32,1.28,False,2026-27,2026,True,4.0,1.28,5,8060,2737.0,-2456.0,1.0136859319130709,0.39473684210526316,0.6511627906976745,676.0,,,,,,,,
Cole Palmer,,MF,Chelsea,23.0,2002.0,4,4,352,3.9,2,2,4,2,0,0,1,0,0.51,0.51,1.02,0.51,1.02,False,2026-27,2026,True,4.0,1.02,5,5991,1955.0,-1603.0,0.8466611454919061,0.5069124423963134,0.647887323943662,529.0,,,,,,,,
Conor Gallagher,,MF,Tottenham,25.0,2000.0,2,2,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,8906,1184.0,-1056.0,0.06899733277507823,0.15151515151515152,0.3448275862068966,625.0,,,,,,,,
Costinha,,"DF,MF",Brighton,,,4,0,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,58,,,0.0,,,,,,,,,,,
Cristhian Mosquera,,DF,Arsenal,21.0,2004.0,2,2,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,1162,994.0,-826.0,0.0,0.0,,441.0,,,,,,,,
César Palacios,,MF,Fulham,,,3,3,207,2.3,1,0,1,1,0,0,1,0,0.43,0.0,0.43,0.43,0.43,False,2026-27,2026,True,4.0,0.43,1,207,,,0.43,,,,,,,,,,,
Daichi Kamada,,MF,Crystal Palace,29.0,1996.0,4,4,351,3.9,0,3,3,0,0,0,1,0,0.0,0.77,0.77,0.0,0.77,False,2026-27,2026,True,4.0,0.77,3,3817,1902.0,-1551.0,0.5133333333333333,0.0,0.0,841.0,,,,,,,,
Daizen Maeda,,MF,Ipswich Town,,,4,3,244,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,244,,,0.0,,,,,,,,,,,
Dan Ndoye,,MF,Nottingham,25.0,2000.0,4,4,258,2.9,1,0,1,1,0,0,1,0,0.35,0.0,0.35,0.35,0.35,False,2026-27,2026,True,4.0,0.35,2,1431,1173.0,-915.0,0.2846153846153846,0.15384615384615385,,625.0,,,,,,,,
Dango Ouattara,,MF,Brentford,23.0,2002.0,4,2,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,6923,2276.0,-2104.0,0.13335897578243908,0.3952569169960474,0.49327354260089684,529.0,,,,,,,,
Daniel Ballard,,DF,Sunderland,26.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2509,2149.0,-1789.0,0.027894002789400286,0.08368200836820085,,676.0,,,,,,,,
Daniel James,,"FW,MF",Leeds United,28.0,1997.0,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,590,559.0,-528.0,0.0,0.0,,784.0,,,,,,,,
Daniel Jebbison,,FW,Bournemouth,22.0,2003.0,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,158,119.0,-101.0,0.17094017094017094,0.7692307692307692,0.0,484.0,,,,,,,,
Daniel Muñoz,,MF,Crystal Palace,29.0,1996.0,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,7120,2399.0,-2345.0,0.08608986909353096,0.2621722846441948,0.25069637883008355,841.0,,,,,,,,
Daniel Muñoz,,MF,Nottingham,29.0,1996.0,2,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,7242,54.0,68.0,0.02869662303117699,0.0,0.2621722846441948,841.0,,,,,,,,
Danny Welbeck,,"FW,MF",Chelsea,35.0,1990.0,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,9415,2258.0,-2241.0,0.18156136243006912,0.5577689243027888,0.5957446808510638,1225.0,,,,,,,,
Dara O'Shea,,DF,Ipswich Town,26.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,6374,3122.0,-2762.0,0.03703803456018707,0.05763688760806916,0.21806853582554517,676.0,,,,,,,,
Darnell Furlong,,"DF,MF",Ipswich Town,,,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,18,,,0.0,,,,,,,,,,,
Darío Osorio,,"FW,MF",Crystal Palace,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,2,,,0.0,,,,,,,,,,,
David Affengruber,,DF,Fulham,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,90,,,0.0,,,,,,,,,,,
David Brooks,,"FW,MF",Bournemouth,28.0,1997.0,3,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,2652,1204.0,-1171.0,0.09611052143340956,0.29850746268656714,0.1869158878504673,784.0,,,,,,,,
David Raya,,GK,Arsenal,30.0,1995.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,15570,3330.0,-2970.0,0.0,0.0,0.0,900.0,,,,,,,,
Dean Henderson,,GK,Crystal Palace,28.0,1997.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,10260,3330.0,-3060.0,0.0,0.0,0.0,784.0,,,,,,,,
Declan Rice,,MF,Arsenal,26.0,1999.0,4,4,321,3.6,0,2,2,0,0,0,0,0,0.0,0.56,0.56,0.0,0.56,False,2026-27,2026,True,4.0,0.56,6,15917,3094.0,-2773.0,0.46970748695649367,0.2616279069767442,0.35031847133757965,676.0,,,,,,,,
Destiny Udogie,,DF,Tottenham,23.0,2002.0,3,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,5741,1338.0,-1250.0,0.025337497499839,0.06711409395973154,0.04672897196261683,529.0,,,,,,,,
Diego Gómez,,MF,Brighton,22.0,2003.0,4,4,348,3.9,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,False,2026-27,2026,True,4.0,0.26,3,2984,2120.0,-1772.0,0.2493236858624905,0.2542372881355932,0.17543859649122806,484.0,,,,,,,,
Diogo Dalot,,DF,Manchester Utd,26.0,1999.0,4,3,257,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,12814,2614.0,-2357.0,0.04228156321287036,0.13793103448275862,0.09584664536741214,676.0,,,,,,,,
Dominic Calvert-Lewin,,FW,Leeds United,28.0,1997.0,4,4,329,3.7,2,1,3,2,0,0,3,0,0.55,0.27,0.82,0.55,0.82,False,2026-27,2026,True,4.0,0.82,6,9278,2721.0,-2392.0,0.6867441526365861,0.49668874172185434,0.223463687150838,784.0,,,,,,,,
